Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Bourse,48.8687,2.3412,Udon Jubey,48.866432,2.33557,Udon Restaurant
Bourse,48.8687,2.3412,Keep Cool,48.868188269041475,2.346728858839657,Gym
Bourse,48.8687,2.3412,Acne Studios,48.86544796697722,2.3385786953983883,Clothing Store
Bourse,48.8687,2.3412,Dionysos,48.86694192727211,2.347265677932837,Greek Restaurant
Bourse,48.8687,2.3412,Salatim,48.869192371250335,2.3459705903081125,Israeli Restaurant
Bourse,48.8687,2.3412,Brew Unique,48.868778310137714,2.34764306139859,Brewery
Bourse,48.8687,2.3412,L'Ivress Sentier,48.868704051885636,2.347624897956848,Wine Bar
Bourse,48.8687,2.3412,Sentier des Halles,48.86738242621467,2.345620158825648,Concert Hall
Bourse,48.8687,2.3412,Breizh Café,48.866854,2.347258,Creperie
Bourse,48.8687,2.3412,Le Centorial,48.86960437076936,2.3363975540676187,Building
Bourse,48.8687,2.3412,Lemon,48.86804870285503,2.3475281207393395,Juice Bar
Temple,48.8659,2.3611,Le Barav,48.86516646209463,2.363154888153076,Wine Bar
Temple,48.8659,2.3611,Monoprix,48.866149910688705,2.3615482449531555,Supermarket
Temple,48.8659,2.3611,0fr.,48.86574636171658,2.361235606513219,Bookstore
Temple,48.8659,2.3611,Square du Temple,48.86447479436444,2.36081600189209,Park
Temple,48.8659,2.3611,La Massara,48.866098081070305,2.3595499992370605,Italian Restaurant
Temple,48.8659,2.3611,L'Aller Retour,48.86524712816095,2.363203378474113,French Restaurant
Temple,48.8659,2.3611,Lily of the Valley,48.86522055747545,2.3619898784439703,Tea Room
Temple,48.8659,2.3611,L'Îlot,48.864666,2.363317,Seafood Restaurant
Temple,48.8659,2.3611,Mmmozza,48.86391016055883,2.360590696334839,Sandwich Place
Temple,48.8659,2.3611,Gigi,48.86475296015111,2.363088339700937,Creperie
Temple,48.8659,2.3611,Pramil,48.866815,2.358704,French Restaurant
Temple,48.8659,2.3611,Le Carreau,48.865140225368485,2.3629238412123645,Bistro
Temple,48.8659,2.3611,Bontemps,48.86395594363815,2.360725075150604,Dessert Shop
Temple,48.8659,2.3611,Anahi,48.86700227278861,2.3582444160131217,Argentinian Restaurant
Temple,48.8659,2.3611,Fermier Gourmet,48.865488777645865,2.3604645323130122,Steakhouse
Temple,48.8659,2.3611,The Broken Arm,48.864653,2.361433,Boutique
Temple,48.8659,2.3611,Umami Matcha Café,48.86649860132168,2.363632321357727,Bistro
